DATE,EMRATIO
1/1/1948,56.6
2/1/1948,56.7
3/1/1948,56.1
4/1/1948,56.7
5/1/1948,56.2
6/1/1948,57
7/1/1948,57.1
8/1/1948,56.6
9/1/1948,56.6
10/1/1948,56.5
11/1/1948,56.5
12/1/1948,56.8
1/1/1949,56.2
2/1/1949,56.2
3/1/1949,56
4/1/1949,55.7
5/1/1949,55.4
6/1/1949,55
7/1/1949,55
8/1/1949,55.1
9/1/1949,55.3
10/1/1949,54.9
11/1/1949,55.6
12/1/1949,55.3
1/1/1950,55.1
2/1/1950,55.1
3/1/1950,55.1
4/1/1950,55.8
5/1/1950,55.8
6/1/1950,56.2
7/1/1950,56.1
8/1/1950,56.8
9/1/1950,56.6
10/1/1950,56.9
11/1/1950,56.9
12/1/1950,56.7
1/1/1951,56.9
2/1/1951,57
3/1/1951,57.7
4/1/1951,57.3
5/1/1951,57.6
6/1/1951,57.1
7/1/1951,57.6
8/1/1951,57.4
9/1/1951,57.1
10/1/1951,57.3
11/1/1951,57.1
12/1/1951,57.7
1/1/1952,57.7
2/1/1952,57.7
3/1/1952,57.1
4/1/1952,57.1
5/1/1952,57.3
6/1/1952,57.3
7/1/1952,57
8/1/1952,56.8
9/1/1952,57.4
10/1/1952,56.9
11/1/1952,57.5
12/1/1952,57.6
1/1/1953,57.8
2/1/1953,58
3/1/1953,58.1
4/1/1953,57.5
5/1/1953,57.1
6/1/1953,57.4
7/1/1953,57.4
8/1/1953,57.1
9/1/1953,56.8
10/1/1953,56.7
11/1/1953,56.5
12/1/1953,55.7
1/1/1954,55.7
2/1/1954,56.2
3/1/1954,55.7
4/1/1954,55.7
5/1/1954,55.4
6/1/1954,55.2
7/1/1954,55
8/1/1954,55.2
9/1/1954,55.5
10/1/1954,55.5
11/1/1954,55.5
12/1/1954,55.2
1/1/1955,55.7
2/1/1955,55.7
3/1/1955,55.8
4/1/1955,56.2
5/1/1955,56.3
6/1/1955,56.3
7/1/1955,56.9
8/1/1955,57.1
9/1/1955,57.2
10/1/1955,57.2
11/1/1955,57.4
12/1/1955,57.7
1/1/1956,57.8
2/1/1956,57.5
3/1/1956,57.3
4/1/1956,57.5
5/1/1956,57.6
6/1/1956,57.5
7/1/1956,57.5
8/1/1956,57.6
9/1/1956,57.6
10/1/1956,57.5
11/1/1956,57.3
12/1/1956,57.3
1/1/1957,57
2/1/1957,57.5
3/1/1957,57.6
4/1/1957,57.2
5/1/1957,57.1
6/1/1957,57.2
7/1/1957,57.5
8/1/1957,56.9
9/1/1957,57
10/1/1957,56.8
11/1/1957,56.4
12/1/1957,56.6
1/1/1958,55.9
2/1/1958,55.5
3/1/1958,55.3
4/1/1958,55.2
5/1/1958,55.4
6/1/1958,55.2
7/1/1958,55.2
8/1/1958,55.4
9/1/1958,55.4
10/1/1958,55.6
11/1/1958,55.5
12/1/1958,55.5
1/1/1959,55.7
2/1/1959,55.5
3/1/1959,56
4/1/1959,56.3
5/1/1959,56.2
6/1/1959,56.3
7/1/1959,56.3
8/1/1959,56.1
9/1/1959,56
10/1/1959,56.1
11/1/1959,55.7
12/1/1959,56.3
1/1/1960,56
2/1/1960,56.2
3/1/1960,55.4
4/1/1960,56.4
5/1/1960,56.4
6/1/1960,56.5
7/1/1960,56.2
8/1/1960,56.1
9/1/1960,56.4
10/1/1960,55.8
11/1/1960,56.1
12/1/1960,55.7
1/1/1961,55.7
2/1/1961,55.5
3/1/1961,55.6
4/1/1961,55.2
5/1/1961,55.2
6/1/1961,55.6
7/1/1961,55.2
8/1/1961,55.3
9/1/1961,55
10/1/1961,55.3
11/1/1961,55.5
12/1/1961,55.3
1/1/1962,55.4
2/1/1962,55.7
3/1/1962,55.7
4/1/1962,55.4
5/1/1962,55.7
6/1/1962,55.6
7/1/1962,55.3
8/1/1962,55.7
9/1/1962,55.7
10/1/1962,55.5
11/1/1962,55.2
12/1/1962,55.2
1/1/1963,55.2
2/1/1963,55.1
3/1/1963,55.3
4/1/1963,55.5
5/1/1963,55.3
6/1/1963,55.3
7/1/1963,55.4
8/1/1963,55.4
9/1/1963,55.5
10/1/1963,55.5
11/1/1963,55.4
12/1/1963,55.3
1/1/1964,55.3
2/1/1964,55.6
3/1/1964,55.5
4/1/1964,55.9
5/1/1964,56.1
6/1/1964,55.6
7/1/1964,55.7
8/1/1964,55.7
9/1/1964,55.7
10/1/1964,55.6
11/1/1964,55.7
12/1/1964,55.6
1/1/1965,55.7
2/1/1965,55.7
3/1/1965,55.9
4/1/1965,56
5/1/1965,56.2
6/1/1965,56.1
7/1/1965,56.5
8/1/1965,56.3
9/1/1965,56.2
10/1/1965,56.4
11/1/1965,56.4
12/1/1965,56.6
1/1/1966,56.7
2/1/1966,56.6
3/1/1966,56.6
4/1/1966,56.8
5/1/1966,56.7
6/1/1966,56.9
7/1/1966,56.9
8/1/1966,57
9/1/1966,57.1
10/1/1966,57.1
11/1/1966,57.4
12/1/1966,57.3
1/1/1967,57.1
2/1/1967,57
3/1/1967,56.8
4/1/1967,57.1
5/1/1967,57
6/1/1967,57.3
7/1/1967,57.4
8/1/1967,57.4
9/1/1967,57.4
10/1/1967,57.5
11/1/1967,57.5
12/1/1967,57.6
1/1/1968,57
2/1/1968,57.3
3/1/1968,57.4
4/1/1968,57.4
5/1/1968,57.8
6/1/1968,57.8
7/1/1968,57.6
8/1/1968,57.5
9/1/1968,57.5
10/1/1968,57.5
11/1/1968,57.6
12/1/1968,57.7
1/1/1969,57.6
2/1/1969,57.9
3/1/1969,57.9
4/1/1969,57.9
5/1/1969,57.8
6/1/1969,58
7/1/1969,58
8/1/1969,58.1
9/1/1969,58.1
10/1/1969,58.1
11/1/1969,58.1
12/1/1969,58.1
1/1/1970,58
2/1/1970,57.9
3/1/1970,57.9
4/1/1970,57.9
5/1/1970,57.5
6/1/1970,57.3
7/1/1970,57.4
8/1/1970,57.2
9/1/1970,57
10/1/1970,57
11/1/1970,56.9
12/1/1970,56.7
1/1/1971,56.8
2/1/1971,56.6
3/1/1971,56.4
4/1/1971,56.6
5/1/1971,56.6
6/1/1971,56.2
7/1/1971,56.5
8/1/1971,56.6
9/1/1971,56.6
10/1/1971,56.6
11/1/1971,56.8
12/1/1971,56.8
1/1/1972,56.7
2/1/1972,56.7
3/1/1972,56.9
4/1/1972,56.9
5/1/1972,57
6/1/1972,57
7/1/1972,57
8/1/1972,57.1
9/1/1972,57
10/1/1972,57
11/1/1972,57.2
12/1/1972,57.3
1/1/1973,57.1
2/1/1973,57.5
3/1/1973,57.8
4/1/1973,57.7
5/1/1973,57.7
6/1/1973,58
7/1/1973,57.9
8/1/1973,57.8
9/1/1973,57.9
10/1/1973,58.1
11/1/1973,58.2
12/1/1973,58.2
1/1/1974,58.2
2/1/1974,58.2
3/1/1974,58.2
4/1/1974,58
5/1/1974,58
6/1/1974,58
7/1/1974,58
8/1/1974,57.8
9/1/1974,57.7
10/1/1974,57.6
11/1/1974,57.3
12/1/1974,56.9
1/1/1975,56.4
2/1/1975,56.1
3/1/1975,56
4/1/1975,55.9
5/1/1975,56
6/1/1975,55.8
7/1/1975,56
8/1/1975,56.1
9/1/1975,56.1
10/1/1975,56.1
11/1/1975,56
12/1/1975,56.1
1/1/1976,56.4
2/1/1976,56.5
3/1/1976,56.7
4/1/1976,56.8
5/1/1976,57
6/1/1976,56.8
7/1/1976,57
8/1/1976,57
9/1/1976,56.9
10/1/1976,56.9
11/1/1976,57
12/1/1976,57
1/1/1977,57
2/1/1977,57.2
3/1/1977,57.4
4/1/1977,57.6
5/1/1977,57.8
6/1/1977,57.9
7/1/1977,57.8
8/1/1977,58
9/1/1977,58.1
10/1/1977,58.2
11/1/1977,58.6
12/1/1977,58.7
1/1/1978,58.8
2/1/1978,58.8
3/1/1978,58.8
4/1/1978,59.2
5/1/1978,59.3
6/1/1978,59.5
7/1/1978,59.3
8/1/1978,59.4
9/1/1978,59.5
10/1/1978,59.7
11/1/1978,59.8
12/1/1978,59.8
1/1/1979,59.9
2/1/1979,60.1
3/1/1979,60
4/1/1979,59.8
5/1/1979,59.8
6/1/1979,59.9
7/1/1979,60
8/1/1979,59.8
9/1/1979,60
10/1/1979,59.9
11/1/1979,60
12/1/1979,60.1
1/1/1980,60
2/1/1980,60
3/1/1980,59.7
4/1/1980,59.4
5/1/1980,59.1
6/1/1980,58.9
7/1/1980,58.8
8/1/1980,58.8
9/1/1980,58.9
10/1/1980,58.9
11/1/1980,59
12/1/1980,59
1/1/1981,59.1
2/1/1981,59.2
3/1/1981,59.4
4/1/1981,59.6
5/1/1981,59.5
6/1/1981,59
7/1/1981,59.1
8/1/1981,59.1
9/1/1981,58.7
10/1/1981,58.8
11/1/1981,58.6
12/1/1981,58.2
1/1/1982,58.2
2/1/1982,58.2
3/1/1982,58.1
4/1/1982,57.9
5/1/1982,58.2
6/1/1982,57.8
7/1/1982,57.7
8/1/1982,57.8
9/1/1982,57.6
10/1/1982,57.4
11/1/1982,57.3
12/1/1982,57.2
1/1/1983,57.2
2/1/1983,57.1
3/1/1983,57.1
4/1/1983,57.3
5/1/1983,57.3
6/1/1983,57.8
7/1/1983,58.1
8/1/1983,58.2
9/1/1983,58.4
10/1/1983,58.4
11/1/1983,58.7
12/1/1983,58.8
1/1/1984,58.8
2/1/1984,59.1
3/1/1984,59.1
4/1/1984,59.3
5/1/1984,59.7
6/1/1984,59.9
7/1/1984,59.8
8/1/1984,59.6
9/1/1984,59.7
10/1/1984,59.7
11/1/1984,59.8
12/1/1984,59.9
1/1/1985,59.9
2/1/1985,60
3/1/1985,60.2
4/1/1985,60.1
5/1/1985,60.1
6/1/1985,59.8
7/1/1985,59.9
8/1/1985,60
9/1/1985,60.3
10/1/1985,60.3
11/1/1985,60.4
12/1/1985,60.4
1/1/1986,60.6
2/1/1986,60.3
3/1/1986,60.5
4/1/1986,60.5
5/1/1986,60.5
6/1/1986,60.7
7/1/1986,60.8
8/1/1986,60.8
9/1/1986,60.8
10/1/1986,60.9
11/1/1986,60.9
12/1/1986,61
1/1/1987,61
2/1/1987,61.1
3/1/1987,61.2
4/1/1987,61.3
5/1/1987,61.6
6/1/1987,61.4
7/1/1987,61.6
8/1/1987,61.8
9/1/1987,61.6
10/1/1987,61.8
11/1/1987,61.9
12/1/1987,62
1/1/1988,62
2/1/1988,62.1
3/1/1988,61.9
4/1/1988,62.2
5/1/1988,62
6/1/1988,62.3
7/1/1988,62.3
8/1/1988,62.4
9/1/1988,62.4
10/1/1988,62.5
11/1/1988,62.7
12/1/1988,62.6
1/1/1989,62.9
2/1/1989,62.9
3/1/1989,62.9
4/1/1989,62.9
5/1/1989,62.9
6/1/1989,63
7/1/1989,63
8/1/1989,63.1
9/1/1989,62.8
10/1/1989,62.9
11/1/1989,63
12/1/1989,63
1/1/1990,63.2
2/1/1990,63.2
3/1/1990,63.2
4/1/1990,63
5/1/1990,63.1
6/1/1990,62.9
7/1/1990,62.8
8/1/1990,62.7
9/1/1990,62.5
10/1/1990,62.5
11/1/1990,62.3
12/1/1990,62.2
1/1/1991,62
2/1/1991,61.9
3/1/1991,61.8
4/1/1991,62
5/1/1991,61.6
6/1/1991,61.7
7/1/1991,61.6
8/1/1991,61.5
9/1/1991,61.6
10/1/1991,61.5
11/1/1991,61.4
12/1/1991,61.2
1/1/1992,61.5
2/1/1992,61.3
3/1/1992,61.5
4/1/1992,61.6
5/1/1992,61.5
6/1/1992,61.5
7/1/1992,61.6
8/1/1992,61.6
9/1/1992,61.4
10/1/1992,61.3
11/1/1992,61.4
12/1/1992,61.4
1/1/1993,61.4
2/1/1993,61.4
3/1/1993,61.5
4/1/1993,61.5
5/1/1993,61.7
6/1/1993,61.8
7/1/1993,61.8
8/1/1993,62
9/1/1993,61.7
10/1/1993,61.8
11/1/1993,61.9
12/1/1993,62
1/1/1994,62.2
2/1/1994,62.3
3/1/1994,62.1
4/1/1994,62.3
5/1/1994,62.5
6/1/1994,62.3
7/1/1994,62.3
8/1/1994,62.6
9/1/1994,62.7
10/1/1994,62.9
11/1/1994,63
12/1/1994,63.1
1/1/1995,63
2/1/1995,63.1
3/1/1995,63.1
4/1/1995,63.1
5/1/1995,62.7
6/1/1995,62.7
7/1/1995,62.8
8/1/1995,62.8
9/1/1995,62.9
10/1/1995,62.9
11/1/1995,62.8
12/1/1995,62.7
1/1/1996,62.7
2/1/1996,62.9
3/1/1996,63
4/1/1996,63
5/1/1996,63
6/1/1996,63.2
7/1/1996,63.3
8/1/1996,63.3
9/1/1996,63.4
10/1/1996,63.5
11/1/1996,63.4
12/1/1996,63.4
1/1/1997,63.4
2/1/1997,63.4
3/1/1997,63.6
4/1/1997,63.7
5/1/1997,63.8
6/1/1997,63.7
7/1/1997,63.9
8/1/1997,63.9
9/1/1997,63.9
10/1/1997,63.9
11/1/1997,64.1
12/1/1997,64
1/1/1998,64
2/1/1998,64
3/1/1998,64
4/1/1998,64.1
5/1/1998,64.1
6/1/1998,64
7/1/1998,64
8/1/1998,63.9
9/1/1998,64.2
10/1/1998,64.1
11/1/1998,64.2
12/1/1998,64.3
1/1/1999,64.4
2/1/1999,64.2
3/1/1999,64.2
4/1/1999,64.2
5/1/1999,64.3
6/1/1999,64.2
7/1/1999,64.2
8/1/1999,64.2
9/1/1999,64.2
10/1/1999,64.3
11/1/1999,64.4
12/1/1999,64.4
1/1/2000,64.6
2/1/2000,64.6
3/1/2000,64.6
4/1/2000,64.7
5/1/2000,64.4
6/1/2000,64.5
7/1/2000,64.2
8/1/2000,64.2
9/1/2000,64.2
10/1/2000,64.2
11/1/2000,64.3
12/1/2000,64.4
1/1/2001,64.4
2/1/2001,64.3
3/1/2001,64.3
4/1/2001,64
5/1/2001,63.8
6/1/2001,63.7
7/1/2001,63.7
8/1/2001,63.2
9/1/2001,63.5
10/1/2001,63.2
11/1/2001,63
12/1/2001,62.9
1/1/2002,62.7
2/1/2002,63
3/1/2002,62.8
4/1/2002,62.7
5/1/2002,62.9
6/1/2002,62.7
7/1/2002,62.7
8/1/2002,62.7
9/1/2002,63
10/1/2002,62.7
11/1/2002,62.5
12/1/2002,62.4
1/1/2003,62.5
2/1/2003,62.5
3/1/2003,62.4
4/1/2003,62.4
5/1/2003,62.3
6/1/2003,62.3
7/1/2003,62.1
8/1/2003,62.1
9/1/2003,62
10/1/2003,62.1
11/1/2003,62.3
12/1/2003,62.2
1/1/2004,62.3
2/1/2004,62.3
3/1/2004,62.2
4/1/2004,62.3
5/1/2004,62.3
6/1/2004,62.4
7/1/2004,62.5
8/1/2004,62.4
9/1/2004,62.3
10/1/2004,62.3
11/1/2004,62.5
12/1/2004,62.4
1/1/2005,62.4
2/1/2005,62.4
3/1/2005,62.4
4/1/2005,62.7
5/1/2005,62.8
6/1/2005,62.7
7/1/2005,62.8
8/1/2005,62.9
9/1/2005,62.8
10/1/2005,62.8
11/1/2005,62.7
12/1/2005,62.8
1/1/2006,62.9
2/1/2006,63
3/1/2006,63.1
4/1/2006,63
5/1/2006,63.1
6/1/2006,63.1
7/1/2006,63
8/1/2006,63.1
9/1/2006,63.1
10/1/2006,63.3
11/1/2006,63.3
12/1/2006,63.4
1/1/2007,63.3
2/1/2007,63.3
3/1/2007,63.3
4/1/2007,63
5/1/2007,63
6/1/2007,63
7/1/2007,62.9
8/1/2007,62.7
9/1/2007,62.9
10/1/2007,62.7
11/1/2007,62.9
12/1/2007,62.7
1/1/2008,62.9
2/1/2008,62.8
3/1/2008,62.7
4/1/2008,62.7
5/1/2008,62.5
6/1/2008,62.4
7/1/2008,62.2
8/1/2008,62
9/1/2008,61.9
10/1/2008,61.7
11/1/2008,61.4
12/1/2008,61
1/1/2009,60.6
2/1/2009,60.3
3/1/2009,59.9
4/1/2009,59.8
5/1/2009,59.6
6/1/2009,59.4
7/1/2009,59.3
8/1/2009,59.1
9/1/2009,58.7
10/1/2009,58.5
11/1/2009,58.6
12/1/2009,58.3
1/1/2010,58.5
2/1/2010,58.5
3/1/2010,58.5
4/1/2010,58.7
5/1/2010,58.6
6/1/2010,58.5
7/1/2010,58.5
8/1/2010,58.6
9/1/2010,58.5
10/1/2010,58.3
11/1/2010,58.2
12/1/2010,58.3
1/1/2011,58.3
2/1/2011,58.4
3/1/2011,58.4
4/1/2011,58.4
5/1/2011,58.3
6/1/2011,58.2
7/1/2011,58.2
8/1/2011,58.3
9/1/2011,58.4
10/1/2011,58.4
11/1/2011,58.6
12/1/2011,58.6
1/1/2012,58.4
2/1/2012,58.5
3/1/2012,58.5
4/1/2012,58.4
5/1/2012,58.5
6/1/2012,58.6
7/1/2012,58.5
8/1/2012,58.4
9/1/2012,58.7
10/1/2012,58.8
11/1/2012,58.7
12/1/2012,58.7
1/1/2013,58.6
2/1/2013,58.6
3/1/2013,58.5
4/1/2013,58.6
5/1/2013,58.6
6/1/2013,58.6
7/1/2013,58.7
8/1/2013,58.7
9/1/2013,58.7
10/1/2013,58.3
11/1/2013,58.6
12/1/2013,58.7
1/1/2014,58.8
2/1/2014,58.7
3/1/2014,58.9
4/1/2014,58.9
5/1/2014,58.9
6/1/2014,59
7/1/2014,59
8/1/2014,59
9/1/2014,59.1
10/1/2014,59.3
11/1/2014,59.2
12/1/2014,59.3
1/1/2015,59.3
2/1/2015,59.2
3/1/2015,59.2
4/1/2015,59.3
5/1/2015,59.4
6/1/2015,59.4
7/1/2015,59.3
8/1/2015,59.4
9/1/2015,59.2
10/1/2015,59.3
11/1/2015,59.4
12/1/2015,59.6
1/1/2016,59.7
2/1/2016,59.8
3/1/2016,59.8
4/1/2016,59.7
5/1/2016,59.7
6/1/2016,59.7
7/1/2016,59.8
8/1/2016,59.8
9/1/2016,59.7
10/1/2016,59.7
11/1/2016,59.7
12/1/2016,59.7
1/1/2017,59.9
2/1/2017,60
3/1/2017,60.2
4/1/2017,60.2
5/1/2017,60.1
6/1/2017,60.1
7/1/2017,60.2
8/1/2017,60.1
9/1/2017,60.4
10/1/2017,60.1
11/1/2017,60.1
12/1/2017,60.1
1/1/2018,60.1
2/1/2018,60.4
3/1/2018,60.4
4/1/2018,60.4
5/1/2018,60.5
6/1/2018,60.5
7/1/2018,60.6
8/1/2018,60.3
9/1/2018,60.4
10/1/2018,60.5
11/1/2018,60.6
12/1/2018,60.6
1/1/2019,60.6
2/1/2019,60.7
3/1/2019,60.6
4/1/2019,60.5
5/1/2019,60.6
6/1/2019,60.7
7/1/2019,60.8
8/1/2019,60.8
9/1/2019,61
10/1/2019,61
11/1/2019,61
12/1/2019,61.1
1/1/2020,61.1
2/1/2020,61.1
3/1/2020,59.8
4/1/2020,51.2
5/1/2020,52.7
6/1/2020,54.7
7/1/2020,55.2
8/1/2020,56.5
9/1/2020,56.6
10/1/2020,57.5
11/1/2020,57.4
12/1/2020,57.4
1/1/2021,57.4
2/1/2021,57.5
3/1/2021,57.7
4/1/2021,57.9
5/1/2021,58
6/1/2021,58.1
7/1/2021,58.4
8/1/2021,58.6
9/1/2021,58.8
10/1/2021,59
11/1/2021,59.3
12/1/2021,59.6
1/1/2022,59.7
2/1/2022,59.8
3/1/2022,60.1
4/1/2022,59.9
5/1/2022,60
6/1/2022,59.9
7/1/2022,60
8/1/2022,60.1
9/1/2022,60.1
10/1/2022,60
11/1/2022,59.9
12/1/2022,60.1
1/1/2023,60.2
2/1/2023,60.2
3/1/2023,60.4
4/1/2023,60.4
5/1/2023,60.3
6/1/2023,60.3
7/1/2023,60.4
8/1/2023,60.4
9/1/2023,60.4
10/1/2023,60.3
11/1/2023,60.4
12/1/2023,60.1
1/1/2024,60.2
2/1/2024,60.1
